StateName,Growth Rate,1/31/2013,7/31/2023,Change,,,,,,,
NV,10.81%,150274,445401,295127,,,,,,,
ID,9.86%,136499,369407,232908,,,,,,,
UT,9.72%,211925,565474,353549,,,,,,,
FL,9.20%,143926,365143,221217,,,,,,,
MT,9.07%,180216,451813,271597,,,,,,,
AZ,9.06%,151945,380542,228597,,,,,,,
WA,8.89%,183707,452306,268599,,,,,,,
OR,8.57%,172319,411347,239028,,,,,,,
TN,8.37%,112524,263347,150823,,,,,,,
CA,8.10%,257868,588298,330430,,,,,,,
CO,7.67%,261803,572601,310798,,,,,,,
NH,7.38%,173633,368840,195207,,,,,,,
TX,7.29%,133253,280475,147222,,,,,,,
GA,7.29%,120114,252813,132699,,,,,,,
KY,7.26%,106004,222672,116668,,,,,,,
ME,7.26%,147184,308949,161765,,,,,,,
SD,7.12%,152133,315111,162978,,,,,,,
RI,6.97%,195250,398458,203208,,,,,,,
HI,6.92%,381609,775069,393460,,,,,,,
MI,6.90%,103791,210229,106438,,,,,,,
SC,6.89%,142499,288520,146021,,,,,,,
NE,6.86%,129492,261243,131751,,,,,,,
MS,6.70%,111958,222391,110433,,,,,,,
NC,6.63%,149484,294864,145380,,,,,,,
IN,6.63%,100977,199157,98180,,,,,,,
WI,6.27%,125412,238603,113191,,,,,,,
KS,6.23%,110550,209671,99121,,,,,,,
MO,6.20%,119338,225522,106184,,,,,,,
MA,6.19%,235460,444476,209016,,,,,,,
MN,6.07%,132226,246657,114431,,,,,,,
AR,5.80%,113140,205425,92285,,,,,,,
OK,5.77%,107104,193928,86824,,,,,,,
IA,5.72%,128310,231218,102908,,,,,,,
WY,5.49%,175816,309654,133838,,,,,,,
OH,5.34%,98959,171664,72705,,,,,,,
DE,5.27%,192583,331761,139178,,,,,,,
NY,5.19%,132809,226959,94150,,,,,,,
VA,4.93%,199825,332662,132837,,,,,,,
MD,4.90%,188533,312909,124376,,,,,,,
ND,4.89%,169242,280512,111270,,,,,,,
PA,4.86%,130074,214876,84802,,,,,,,
NM,4.72%,152094,247844,95750,,,,,,,
AL,4.68%,139208,225933,86725,,,,,,,
NJ,4.13%,225042,345524,120482,,,,,,,
CT,4.04%,230396,350504,120108,,,,,,,
LA,3.80%,145817,216359,70542,,,,,,,
IL,3.56%,102309,148195,45886,,,,,,,
WV,2.83%,140830,189308,48478,,,,,,,
