,RegionName,StateName
0,"New York, NY",NY
1,"Los Angeles, CA",CA
2,"Chicago, IL",IL
3,"Dallas, TX",TX
4,"Houston, TX",TX
5,"Washington, DC",VA
6,"Philadelphia, PA",PA
7,"Miami, FL",FL
8,"Atlanta, GA",GA
9,"Boston, MA",MA
10,"Phoenix, AZ",AZ
11,"San Francisco, CA",CA
12,"Riverside, CA",CA
13,"Detroit, MI",MI
14,"Seattle, WA",WA
15,"Minneapolis, MN",MN
16,"San Diego, CA",CA
17,"Tampa, FL",FL
18,"Denver, CO",CO
19,"Baltimore, MD",MD
20,"St. Louis, MO",MO
21,"Orlando, FL",FL
22,"Charlotte, NC",NC
23,"San Antonio, TX",TX
24,"Portland, OR",OR
25,"Sacramento, CA",CA
26,"Pittsburgh, PA",PA
27,"Cincinnati, OH",OH
28,"Austin, TX",TX
29,"Las Vegas, NV",NV
30,"Kansas City, MO",MO
31,"Columbus, OH",OH
32,"Indianapolis, IN",IN
33,"Cleveland, OH",OH
34,"San Jose, CA",CA
35,"Nashville, TN",TN
36,"Virginia Beach, VA",VA
37,"Providence, RI",RI
38,"Jacksonville, FL",FL
39,"Milwaukee, WI",WI
40,"Oklahoma City, OK",OK
41,"Raleigh, NC",NC
42,"Memphis, TN",TN
43,"Richmond, VA",VA
44,"Louisville, KY",KY
45,"New Orleans, LA",LA
46,"Salt Lake City, UT",UT
47,"Hartford, CT",CT
48,"Buffalo, NY",NY
49,"Birmingham, AL",AL
50,"Rochester, NY",NY
51,"Grand Rapids, MI",MI
52,"Tucson, AZ",AZ
53,"Urban Honolulu, HI",HI
54,"Tulsa, OK",OK
55,"Fresno, CA",CA
56,"Worcester, MA",MA
57,"Omaha, NE",NE
58,"Bridgeport, CT",CT
59,"Greenville, SC",SC
60,"Albuquerque, NM",NM
61,"Bakersfield, CA",CA
62,"Albany, NY",NY
63,"Knoxville, TN",TN
64,"Baton Rouge, LA",LA
65,"McAllen, TX",TX
66,"New Haven, CT",CT
67,"El Paso, TX",TX
68,"Allentown, PA",PA
69,"Oxnard, CA",CA
70,"Columbia, SC",SC
71,"North Port, FL",FL
72,"Dayton, OH",OH
73,"Charleston, SC",SC
74,"Greensboro, NC",NC
75,"Stockton, CA",CA
76,"Cape Coral, FL",FL
77,"Boise City, ID",ID
78,"Colorado Springs, CO",CO
79,"Little Rock, AR",AR
80,"Lakeland, FL",FL
81,"Akron, OH",OH
82,"Des Moines, IA",IA
83,"Springfield, MA",MA
84,"Ogden, UT",UT
85,"Madison, WI",WI
86,"Winston, NC",NC
87,"Deltona, FL",FL
88,"Syracuse, NY",NY
89,"Provo, UT",UT
90,"Toledo, OH",OH
91,"Wichita, KS",KS
92,"Durham, NC",NC
93,"Augusta, GA",GA
94,"Palm Bay, FL",FL
95,"Jackson, MS",MS
96,"Harrisburg, PA",PA
97,"Spokane, WA",WA
98,"Scranton, PA",PA
99,"Chattanooga, TN",TN
100,"Modesto, CA",CA
101,"Lancaster, PA",PA
102,"Portland, ME",ME
103,"Youngstown, OH",OH
104,"Lansing, MI",MI
105,"Fayetteville, AR",AR
106,"Fayetteville, NC",NC
107,"Lexington, KY",KY
108,"Pensacola, FL",FL
109,"Santa Rosa, CA",CA
110,"Reno, NV",NV
111,"Huntsville, AL",AL
112,"Port St. Lucie, FL",FL
113,"Myrtle Beach, SC",SC
114,"Springfield, MO",MO
115,"Visalia, CA",CA
